FAEDCOH,Carrera de Educación Inicial,102,60,162,19.46,18.87,18.77,16.85
FAEDCOH,Carrera de Educación Primaria,21,3,24,19.34,19.20,18.98,17.34
FAEDCOH,Carrera de Educación Fisica y Deportes,43,24,67,19.39,18.88,19.07,18.07
FAEDCOH,Escuela Profesional de Ciencias de la Comunicación,125,35,160,19.27,18.46,18.69,17.22
FAEDCOH,Carrera de Psicología,557,156,713,19.02,17.70,17.37,16.04
FACEM,Escuela Profesional de Administración Turístico-Hotelera,70,42,112,19.22,18.17,17.95,17.04
FACEM,Escuela Profesional de Ingeniería Comercial,241,87,328,18.64,17.69,17.95,17.19
FACEM,Escuela Profesional de Ciencias Contables y Financieras,296,89,385,18.50,17.69,17.57,16.73
FACEM,Escuela Profesional de Administración de Negocios Internacionales,391,106,497,18.83,17.98,17.93,16.83
FACEM,Escuela Profesional de Economía,929,621,1550,18.92,18.12,18.32,16.93
FADE,Escuela Profesional de Derecho,275,25,300,18.80,17.60,17.40,17.00
FAU,Escuela Profesional de Arquitectura,382,142,524,19.12,18.02,18.11,16.50
FACSA,Escuela Profesional de Medicina Humana,263,67,330,17.77,17.90,17.98,16.05
FACSA,Escuela Profesional de Odontología,112,113,225,19.02,18.53,18.50,16.99
FACSA,Laboratorio Clínico y Anatomía Patológica,61,21,82,19.55,18.70,18.76,16.90
FACSA,Terapia Física y Rehabilitación,58,104,162,19.55,18.70,18.76,16.90
FAING,Ingeniería de Sistemas,292,34,326,19.07,17.87,17.72,17.09
FAING,Escuela Profesional de Ingeniería Civil,615,120,735,19.00,17.93,18.13,17.14
FAING,Escuela Profesional de Ingeniería Electrónica,47,23,70,18.26,17.95,17.36,16.31
FAING,Escuela Profesional de Ingeniería Agroindustrial,15,8,23,18.63,17.93,17.78,15.60
FAING,Escuela Profesional de Ingeniería Ambiental,130,39,169,19.27,18.60,18.47,17.17
FAING,Escuela Profesional de Ingeniería Industrial,222,26,248,19.26,18.11,17.98,17.00